epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8014,2.28511,4.64899,4.28838,1.83892,0.00067,0.00917,0.00034,0.0001,0.00067,0.00917,0.00034,0.00013,2.67745,4.97353,4.41968,2.44061,6e-05,6e-05,6e-05
2,29.262,2.25994,4.51599,4.39925,1.77162,0.00067,0.00917,0.00034,0.0001,0.00067,0.00917,0.00034,0.00013,2.6558,4.94699,4.36782,2.42348,0.000139654,0.000139654,0.000139654
3,53.6858,2.01968,4.45333,3.44813,1.56927,0.47534,0.23394,0.22794,0.13358,0.50769,0.22477,0.2169,0.09023,1.62398,5.22114,1.97492,1.50094,0.000218911,0.000218911,0.000218911
4,66.0494,1.71756,3.71919,2.17845,1.38224,0.44627,0.50459,0.38421,0.22727,0.40165,0.45413,0.32857,0.14831,1.48675,4.00322,1.87781,1.29962,0.000297773,0.000297773,0.000297773
5,79.8712,1.37623,2.85288,1.86694,1.2561,0.36455,0.28899,0.25315,0.16446,0.251,0.31651,0.19365,0.07567,1.36186,4.33219,2.9995,1.27481,0.000376238,0.000376238,0.000376238
6,93.6318,1.41268,2.79577,1.58715,1.27791,0.06108,0.53211,0.05053,0.02914,0.06161,0.5367,0.05016,0.02217,1.59352,3.97548,7.31003,1.38679,0.000454308,0.000454308,0.000454308
7,116.214,1.41394,2.78223,1.8596,1.24142,0.17808,0.15138,0.07122,0.03976,0.15048,0.14679,0.06379,0.02941,1.64793,4.25364,3.2036,1.40639,0.000531981,0.000531981,0.000531981
8,137.886,1.4033,2.71405,1.6468,1.23468,0.49927,0.37156,0.41597,0.2169,0.26155,0.27982,0.18149,0.0548,1.6923,5.50998,1.89163,1.49914,0.000609259,0.000609259,0.000609259
9,155.341,1.46729,2.90315,1.37567,1.25591,0.41248,0.5,0.43808,0.22713,0.36942,0.45416,0.3765,0.12377,1.59154,5.18214,2.78504,1.50786,0.00068614,0.00068614,0.00068614
10,172.462,1.41066,2.74436,1.28334,1.20229,0.12012,0.13761,0.04603,0.02299,0.10304,0.11468,0.02704,0.00873,2.06172,18.2946,4.87376,2.17297,0.000762626,0.000762626,0.000762626
11,188.178,1.27169,2.77815,1.38405,1.18673,0.12012,0.13761,0.04603,0.02299,0.10304,0.11468,0.02704,0.00873,nan,nan,nan,nan,0.000838715,0.000838715,0.000838715
12,202.09,1.39764,2.84713,1.45428,1.2176,0.12012,0.13761,0.04603,0.02299,0.10304,0.11468,0.02704,0.00873,nan,nan,nan,nan,0.000914408,0.000914408,0.000914408
13,215.48,1.41515,2.7713,1.44165,1.22591,0.12012,0.13761,0.04603,0.02299,0.10304,0.11468,0.02704,0.00873,nan,nan,nan,nan,0.000989706,0.000989706,0.000989706
14,231.805,1.39408,2.76542,1.44897,1.21406,0.12012,0.13761,0.04603,0.02299,0.10304,0.11468,0.02704,0.00873,0,0,6772,0,0.00106461,0.00106461,0.00106461
15,251.499,1.37104,2.73282,1.34811,1.21279,0.12012,0.13761,0.04603,0.02299,0.10304,0.11468,0.02704,0.00873,nan,nan,nan,nan,0.00113911,0.00113911,0.00113911
16,265.525,1.40217,2.7672,1.4098,1.25314,0.12012,0.13761,0.04603,0.02299,0.10304,0.11468,0.02704,0.00873,nan,nan,nan,nan,0.00121322,0.00121322,0.00121322
17,279.099,1.44795,2.95812,1.40802,1.2818,0.12012,0.13761,0.04603,0.02299,0.10304,0.11468,0.02704,0.00873,nan,nan,nan,nan,0.00128694,0.00128694,0.00128694
18,295.042,1.35165,2.69809,1.35755,1.23088,0.12012,0.13761,0.04603,0.02299,0.10304,0.11468,0.02704,0.00873,nan,nan,nan,nan,0.00136025,0.00136025,0.00136025
19,310.738,1.39783,2.80265,1.44192,1.30859,0.12012,0.13761,0.04603,0.02299,0.10304,0.11468,0.02704,0.00873,nan,nan,nan,nan,0.00143317,0.00143317,0.00143317
20,324.737,1.46007,2.77281,1.39531,1.25194,0.12012,0.13761,0.04603,0.02299,0.10304,0.11468,0.02704,0.00873,nan,nan,nan,nan,0.0015057,0.0015057,0.0015057
21,350.948,1.42758,2.83212,1.22882,1.22852,0.12012,0.13761,0.04603,0.02299,0.10304,0.11468,0.02704,0.00873,nan,nan,nan,nan,0.00157783,0.00157783,0.00157783
22,373.657,1.46258,2.74742,1.22178,1.24681,0.12012,0.13761,0.04603,0.02299,0.10304,0.11468,0.02704,0.00873,nan,nan,nan,nan,0.00164956,0.00164956,0.00164956
23,390.558,1.69086,3.02087,1.39133,1.38733,0.12012,0.13761,0.04603,0.02299,0.10304,0.11468,0.02704,0.00873,nan,nan,nan,nan,0.0017209,0.0017209,0.0017209
24,405.897,1.4313,2.60409,1.26999,1.22206,0.12012,0.13761,0.04603,0.02299,0.10304,0.11468,0.02704,0.00873,nan,nan,nan,nan,0.00179184,0.00179184,0.00179184
25,423.506,1.64027,3.02968,1.51835,1.40187,0.17359,0.11468,0.05478,0.02149,0.10782,0.06422,0.02095,0.00526,3.14736,17.2728,8.47304,2.75004,0.00186239,0.00186239,0.00186239
26,445.003,1.43068,2.81228,1.47809,1.27417,0.43438,0.46789,0.42477,0.22502,0.44221,0.34404,0.33381,0.10899,1.58261,5.92439,3.50035,1.50791,0.00187625,0.00187625,0.00187625
27,469.451,1.36368,2.73311,1.3082,1.18554,0.17383,0.17277,0.09475,0.03216,0.18162,0.09633,0.05975,0.0103,3.11396,7.98,3.13703,2.66137,0.0018713,0.0018713,0.0018713
28,478.553,1.43895,2.96052,1.3946,1.29496,0.17383,0.17277,0.09475,0.03216,0.18162,0.09633,0.05975,0.0103,nan,nan,nan,nan,0.00186635,0.00186635,0.00186635
29,502.769,1.46245,2.96718,1.6565,1.2914,0.0022,0.01376,0.00126,0.00044,0,0,0,0,nan,nan,nan,nan,0.0018614,0.0018614,0.0018614
30,522.718,1.51876,2.74248,1.3494,1.27441,0.00135,0.00917,0.00317,0.00059,0,0,0,0,nan,nan,nan,nan,0.00185645,0.00185645,0.00185645
31,545.685,1.48035,2.88058,1.26567,1.23321,0.00135,0.00917,0.00317,0.00059,0,0,0,0,nan,nan,nan,nan,0.0018515,0.0018515,0.0018515
32,566.603,1.40503,2.78094,1.37874,1.20427,0.00135,0.00917,0.00317,0.00059,0,0,0,0,nan,nan,nan,nan,0.00184655,0.00184655,0.00184655
33,589.295,1.32433,2.54611,1.3252,1.16399,0.00135,0.00917,0.00317,0.00059,0,0,0,0,nan,nan,nan,nan,0.0018416,0.0018416,0.0018416
34,603.801,1.35826,2.64408,1.23644,1.22281,0.00135,0.00917,0.00317,0.00059,0,0,0,0,nan,nan,nan,nan,0.00183665,0.00183665,0.00183665
35,626.672,1.40183,2.92761,1.37617,1.27797,0.00135,0.00917,0.00317,0.00059,0,0,0,0,nan,nan,nan,nan,0.0018317,0.0018317,0.0018317
36,636.078,1.35223,2.7624,1.34312,1.251,0.00275,0.00917,0.00037,0.00015,0,0,0,0,nan,nan,nan,nan,0.00182675,0.00182675,0.00182675
37,660.248,1.36575,2.59478,1.51727,1.19275,0.00033,0.00459,0.00017,5e-05,0,0,0,0,nan,nan,nan,nan,0.0018218,0.0018218,0.0018218
38,685.717,1.3336,2.58451,1.28923,1.17383,0.02654,0.00459,0.00073,0.0002,0,0,0,0,4.19413,56.5964,7.96234,6.60423,0.00181685,0.00181685,0.00181685
39,705.16,1.3086,2.36422,1.21752,1.14526,0.00132,0.00459,0.00052,9e-05,0,0,0,0,nan,nan,nan,nan,0.0018119,0.0018119,0.0018119
40,719.116,1.38784,2.54509,1.21177,1.21326,0.00132,0.00459,0.00052,9e-05,0,0,0,0,4.17268,80.0267,11.2529,7.45661,0.00180695,0.00180695,0.00180695
41,731.543,1.22214,2.21226,1.10574,1.15815,0.00132,0.00459,0.00052,9e-05,0,0,0,0,4.23208,99.1893,4.72809,6.37039,0.001802,0.001802,0.001802
42,749.474,1.30866,2.34861,1.05449,1.17052,0.00132,0.00459,0.00052,9e-05,0,0,0,0,4.41672,111.536,5.57168,4.42341,0.00179705,0.00179705,0.00179705
43,763.981,1.36016,2.34292,1.18442,1.19082,0.00132,0.00459,0.00052,9e-05,0,0,0,0,4.20053,91.4332,6.70012,3.75871,0.0017921,0.0017921,0.0017921
44,780.223,1.28687,2.36124,1.13514,1.18703,0.03984,0.05505,0.00767,0.0043,0.04316,0.05963,0.00778,0.00312,3.24077,44.3846,6.52749,2.74279,0.00178715,0.00178715,0.00178715
45,795.959,1.29424,2.23563,1.14182,1.17405,0.04942,0.04128,0.01342,0.00632,0.04669,0.0367,0.01101,0.00328,3.05627,24.7597,5.1615,2.55593,0.0017822,0.0017822,0.0017822
46,805.807,1.25487,2.25934,1.14063,1.17289,0.38506,0.53211,0.42442,0.22433,0.37905,0.49083,0.37185,0.17223,1.4214,3.68911,2.27514,1.29491,0.00177725,0.00177725,0.00177725
47,827.805,1.24385,2.35604,1.12166,1.17574,0.60135,0.5,0.55486,0.33069,0.60724,0.5,0.54005,0.2707,1.34956,3.00112,2.21132,1.2835,0.0017723,0.0017723,0.0017723
48,853.567,1.28482,2.29143,1.14795,1.15986,0.56449,0.49349,0.53674,0.3195,0.55981,0.48624,0.51881,0.27026,1.31331,2.79098,2.64985,1.25258,0.00176735,0.00176735,0.00176735
49,864.218,1.38633,2.62668,1.28274,1.27156,0.50193,0.49541,0.53697,0.28289,0.50663,0.45692,0.48914,0.23957,1.47366,2.85255,1.93886,1.31007,0.0017624,0.0017624,0.0017624
50,887.532,1.3456,2.46232,1.15895,1.19471,0.51851,0.53211,0.55568,0.32005,0.51202,0.5367,0.51536,0.25461,1.31876,2.85191,1.5028,1.20038,0.00175745,0.00175745,0.00175745
51,918.457,1.26234,2.33438,1.09041,1.14098,0.50397,0.51376,0.53161,0.32273,0.49973,0.49083,0.49965,0.25627,1.25638,2.61031,1.87066,1.1657,0.0017525,0.0017525,0.0017525
52,930.476,1.2561,2.27524,1.15355,1.15303,0.53163,0.48624,0.532,0.33052,0.53352,0.49842,0.51439,0.26323,1.3015,2.70692,2.09589,1.20788,0.00174755,0.00174755,0.00174755
53,945.048,1.17408,2.16625,1.02185,1.1103,0.46393,0.46789,0.4859,0.29036,0.45653,0.45872,0.46036,0.24818,1.30438,2.79769,2.19517,1.2279,0.0017426,0.0017426,0.0017426
54,959.902,1.20979,2.24902,1.09741,1.1359,0.52421,0.53211,0.555,0.32824,0.52873,0.5367,0.54037,0.29067,1.32908,2.60188,2.33739,1.26292,0.00173765,0.00173765,0.00173765
55,980.35,1.16296,2.16145,1.03004,1.11962,0.53883,0.5038,0.55088,0.33897,0.53392,0.49922,0.53823,0.29537,1.25179,2.56195,2.55269,1.22341,0.0017327,0.0017327,0.0017327
56,1003.2,1.24185,2.20628,1.06086,1.11036,0.49724,0.5,0.49814,0.29858,0.49268,0.49541,0.48009,0.25188,1.28,2.57947,2.16544,1.21659,0.00172775,0.00172775,0.00172775
57,1015.57,1.13477,2.19132,1.0504,1.08509,0.50999,0.55963,0.5349,0.33281,0.50292,0.54765,0.49981,0.27517,1.22971,2.5695,1.34543,1.18959,0.0017228,0.0017228,0.0017228
58,1036.5,1.17391,2.12113,1.01409,1.07777,0.55331,0.44495,0.48519,0.31507,0.54761,0.44037,0.46391,0.24949,1.36056,3.22614,1.46542,1.27678,0.00171785,0.00171785,0.00171785
59,1045.18,1.1642,2.07066,1.02049,1.12526,0.42838,0.31284,0.34043,0.20615,0.43854,0.30734,0.31918,0.1496,1.70264,4.52876,2.18958,1.5301,0.0017129,0.0017129,0.0017129
60,1059.22,1.16619,2.09245,1.02406,1.07906,0.45491,0.56422,0.55403,0.36015,0.42677,0.59633,0.52371,0.27246,1.23971,2.59681,1.41748,1.1724,0.00170795,0.00170795,0.00170795
61,1073.17,1.1835,2.15087,1.03784,1.12501,0.56402,0.55505,0.60375,0.37493,0.55936,0.55046,0.58602,0.3187,1.2548,2.60475,1.92928,1.17275,0.001703,0.001703,0.001703
62,1086.26,1.13164,2.06726,1.02048,1.07214,0.58792,0.50917,0.58176,0.3515,0.57658,0.50597,0.57405,0.29764,1.34177,2.76764,2.28039,1.23873,0.00169805,0.00169805,0.00169805
63,1113.08,1.18034,2.20792,1.02658,1.12023,0.53057,0.54958,0.59982,0.37169,0.55167,0.51929,0.55141,0.29531,1.23846,2.73116,1.80085,1.18419,0.0016931,0.0016931,0.0016931
64,1137.72,1.11208,1.98243,0.99921,1.0795,0.68306,0.47248,0.60619,0.37612,0.67643,0.46789,0.58194,0.30964,1.26076,2.84831,1.41545,1.19291,0.00168815,0.00168815,0.00168815
65,1159.45,1.18015,2.20226,1.05796,1.12788,0.59799,0.59633,0.62853,0.38701,0.60207,0.54587,0.58578,0.29887,1.27858,2.78892,1.32628,1.17471,0.0016832,0.0016832,0.0016832
66,1169.48,1.10134,1.96782,1.00124,1.10226,0.5705,0.62844,0.647,0.42536,0.58303,0.60092,0.6194,0.33693,1.20194,2.56994,1.14636,1.14684,0.00167825,0.00167825,0.00167825
67,1185.23,1.113,2.05567,0.98012,1.10058,0.6493,0.50108,0.63594,0.40136,0.64362,0.50536,0.60727,0.32451,1.22425,2.57915,1.19287,1.16694,0.0016733,0.0016733,0.0016733
68,1202.44,1.11072,2.10754,0.99009,1.06517,0.64456,0.48624,0.61159,0.38945,0.64342,0.4718,0.58555,0.32564,1.29847,2.58345,1.25265,1.20146,0.00166835,0.00166835,0.00166835
69,1214.64,1.13572,2.04361,0.94773,1.08676,0.61657,0.5367,0.63578,0.40957,0.59856,0.52666,0.60102,0.34733,1.22435,2.5003,1.19427,1.15851,0.0016634,0.0016634,0.0016634
70,1226.54,1.11687,2.03384,1.05216,1.08506,0.69428,0.50459,0.62756,0.40244,0.69664,0.5,0.60378,0.32995,1.27157,2.53943,1.13898,1.18477,0.00165845,0.00165845,0.00165845
71,1241.51,1.19463,2.20154,1.12777,1.13032,0.54125,0.58257,0.61654,0.38282,0.53977,0.55046,0.59979,0.31198,1.31114,2.53113,1.18756,1.18665,0.0016535,0.0016535,0.0016535
72,1252.26,1.13004,2.12671,1.01048,1.07515,0.54152,0.53211,0.58731,0.37296,0.55618,0.53211,0.56751,0.29869,1.28064,2.52784,1.46654,1.15618,0.00164855,0.00164855,0.00164855
73,1268.17,1.15173,1.99135,1.03391,1.09074,0.50338,0.61927,0.60363,0.3933,0.53224,0.5637,0.58356,0.32326,1.23799,2.41381,1.43758,1.14193,0.0016436,0.0016436,0.0016436
74,1285.57,1.01619,1.85362,0.97814,1.0266,0.5795,0.58792,0.61855,0.39141,0.56802,0.56096,0.59135,0.34231,1.24447,2.34628,1.27978,1.16178,0.00163865,0.00163865,0.00163865
75,1297.07,1.04757,1.92863,0.94403,1.04784,0.55409,0.6555,0.63658,0.39173,0.61984,0.54598,0.60727,0.35147,1.29099,2.4089,1.18898,1.18424,0.0016337,0.0016337,0.0016337
76,1311,1.13147,1.95472,0.98543,1.09463,0.57413,0.59174,0.61387,0.39476,0.56106,0.58257,0.58573,0.33188,1.23304,2.39389,1.17653,1.16689,0.00162875,0.00162875,0.00162875
77,1323.98,1.0809,1.88161,0.91548,1.02627,0.51,0.62844,0.54544,0.35465,0.52331,0.63303,0.54721,0.30321,1.23683,2.40215,1.31169,1.17597,0.0016238,0.0016238,0.0016238
78,1335.82,1.13154,2.0406,0.97346,1.06539,0.51449,0.57339,0.54663,0.34693,0.5239,0.57545,0.54277,0.30434,1.24675,2.38906,1.26016,1.16932,0.00161885,0.00161885,0.00161885
79,1349.08,1.05379,1.94297,1.11072,1.10915,0.55132,0.51835,0.59794,0.3728,0.60045,0.51376,0.59902,0.33593,1.30442,2.42187,1.12492,1.20761,0.0016139,0.0016139,0.0016139
80,1360.1,1.07957,1.97927,0.9741,1.06797,0.71071,0.50713,0.63756,0.40306,0.71421,0.50441,0.62204,0.35968,1.27649,2.42309,1.0914,1.19324,0.00160895,0.00160895,0.00160895
81,1383.74,1.06724,1.98769,0.97758,1.09032,0.60577,0.55684,0.64379,0.41119,0.63803,0.5367,0.62992,0.3617,1.25751,2.35804,1.07522,1.16467,0.001604,0.001604,0.001604
82,1394.08,1.09118,1.97458,0.95094,1.06866,0.54063,0.58305,0.62041,0.38247,0.53321,0.57638,0.60116,0.32835,1.23579,2.37301,1.15812,1.14318,0.00159905,0.00159905,0.00159905
83,1409.14,1.05979,1.81845,0.9115,1.0289,0.52517,0.63761,0.59848,0.36473,0.52634,0.62844,0.57838,0.31135,1.26943,2.37083,1.15849,1.18032,0.0015941,0.0015941,0.0015941
84,1428.69,1.11831,2.02451,0.96131,1.06178,0.54007,0.61468,0.58519,0.36864,0.53446,0.61927,0.57034,0.31821,1.21372,2.25348,1.19384,1.15494,0.00158915,0.00158915,0.00158915
85,1441.81,1.04569,1.97338,1.01151,1.08538,0.54574,0.58716,0.62665,0.40573,0.54148,0.58257,0.61104,0.35624,1.22503,2.2924,1.19075,1.16228,0.0015842,0.0015842,0.0015842
86,1458.42,1.03655,1.82131,0.91488,1.03761,0.56203,0.61009,0.65097,0.42037,0.55781,0.6055,0.63595,0.36464,1.2604,2.32695,1.09374,1.18184,0.00157925,0.00157925,0.00157925
87,1469.17,1.09118,2.00025,1.00587,1.08804,0.63581,0.48852,0.61074,0.39007,0.64258,0.49482,0.60002,0.34382,1.28421,2.37009,1.13558,1.20002,0.0015743,0.0015743,0.0015743
88,1482.87,1.11052,1.86467,0.94497,1.03936,0.52145,0.58982,0.60873,0.39394,0.51628,0.58257,0.59004,0.33977,1.26092,2.46306,1.14883,1.18764,0.00156935,0.00156935,0.00156935
89,1492.56,1.06776,1.88029,0.93103,1.04223,0.45863,0.67617,0.6167,0.38717,0.45464,0.66055,0.59347,0.33113,1.25044,2.40762,1.53635,1.148,0.0015644,0.0015644,0.0015644
