epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.30731,2.4615,4.58072,4.22786,1.76938,0,0,0,0,0,0,0,0,3.70519,5.18717,4.49066,2.4016,2e-05,2e-05,2e-05
2,2.39439,2.70254,4.74525,4.33042,1.85223,0,0,0,0,0,0,0,0,3.67697,5.17432,4.45863,2.3739,5.98515e-05,5.98515e-05,5.98515e-05
3,3.42578,2.63868,4.68292,4.28309,1.80548,0,0,0,0,0,0,0,0,3.63629,5.16892,4.41895,2.34638,9.9505e-05,9.9505e-05,9.9505e-05
4,4.40036,2.80526,4.87185,4.30282,1.86198,0,0,0,0,0,0,0,0,3.59268,5.15758,4.39071,2.32571,0.000138961,0.000138961,0.000138961
5,5.35062,2.86238,4.87984,4.34773,1.87606,0.044,0.375,0.03555,0.01677,0.02133,0.18182,0.01493,0.00446,2.38538,5.52756,2.57061,1.56726,0.000178218,0.000178218,0.000178218
6,6.70528,2.30014,4.94993,2.45829,1.28043,0.29532,0.45455,0.2332,0.11232,0.29913,0.31818,0.18126,0.06217,1.77999,4.23099,3.75073,1.25026,0.000217278,0.000217278,0.000217278
7,8.01769,1.9983,4.27737,3.17357,1.30985,0.58129,0.34659,0.35108,0.19846,0.45718,0.27273,0.23629,0.08313,1.68027,4.5233,1.82958,1.20527,0.000256139,0.000256139,0.000256139
8,9.33086,1.69494,3.70406,1.82093,1.28846,0.44764,0.3822,0.37417,0.19945,0.42412,0.3264,0.28767,0.11465,1.64358,4.38388,1.42274,1.15254,0.000294803,0.000294803,0.000294803
9,10.663,1.68177,3.34059,1.37624,1.17576,0.49462,0.41477,0.41321,0.21938,0.49286,0.32955,0.29437,0.11453,1.62652,5.04641,1.50953,1.15341,0.000333268,0.000333268,0.000333268
10,12.001,1.58514,3.28222,1.27032,1.13159,0.5479,0.40341,0.40782,0.23065,0.47518,0.27841,0.21728,0.09333,1.66442,7.43243,1.42622,1.18933,0.000371535,0.000371535,0.000371535
11,13.1971,1.57713,3.24379,1.20591,1.13563,0.57152,0.36932,0.39341,0.22102,0.36855,0.1875,0.14281,0.05625,1.70025,9.56673,1.41384,1.19324,0.000409605,0.000409605,0.000409605
12,14.4052,1.52198,2.90422,1.16983,1.16747,0.58828,0.50568,0.5236,0.27265,0.54862,0.47159,0.42893,0.20656,1.62684,3.69081,1.06881,1.13909,0.000447476,0.000447476,0.000447476
13,15.6895,1.63203,3.09568,1.32462,1.12168,0.65283,0.47727,0.53239,0.27994,0.62084,0.47159,0.50505,0.22976,1.62667,3.75006,1.93775,1.16201,0.00048515,0.00048515,0.00048515
14,16.9541,1.51901,2.90703,1.23864,1.13975,0.41203,0.44886,0.31159,0.14358,0.38458,0.43318,0.28556,0.11565,1.74913,3.68342,2.00364,1.20173,0.000522626,0.000522626,0.000522626
15,18.2023,1.57904,2.96116,1.20213,1.14961,0.32003,0.46023,0.26516,0.10996,0.28377,0.41477,0.21755,0.07599,1.63058,3.94065,2.9518,1.16525,0.000559903,0.000559903,0.000559903
16,19.4505,1.65824,2.86779,1.13797,1.11197,0.42308,0.3125,0.27755,0.10167,0.4,0.29545,0.24474,0.09091,1.66915,3.78036,5.49805,1.16747,0.000596983,0.000596983,0.000596983
17,20.6074,1.5283,2.80226,1.13201,1.13979,0.22453,0.50568,0.25973,0.09622,0.48148,0.22159,0.23788,0.07761,1.70227,4.62121,4.95826,1.2211,0.000633864,0.000633864,0.000633864
18,21.8117,1.64633,3.08527,1.1886,1.15023,0.2365,0.51136,0.26456,0.12193,0.20624,0.48864,0.20748,0.07569,1.65233,4.50695,3.59723,1.19812,0.000670548,0.000670548,0.000670548
19,23.0103,1.54286,2.83612,1.15828,1.12463,0.20681,0.63068,0.2655,0.11238,0.19433,0.44318,0.21174,0.06714,1.80346,5.014,5.71046,1.25552,0.000707033,0.000707033,0.000707033
20,24.2158,1.59303,2.92521,1.19421,1.12991,0.25018,0.39205,0.28521,0.116,0.23599,0.375,0.23078,0.08613,1.74973,4.60278,4.9418,1.25539,0.00074332,0.00074332,0.00074332
21,25.4634,1.51824,2.60269,1.08506,1.13421,0.1387,0.61932,0.12554,0.05694,0.12797,0.51705,0.10301,0.03803,1.8479,5.35421,12.3567,1.32365,0.00077941,0.00077941,0.00077941
22,26.6394,1.70533,3.07799,1.25343,1.20957,0.26822,0.63068,0.26112,0.10881,0.24096,0.40909,0.17855,0.05889,1.85468,6.58198,3.49591,1.37825,0.000815302,0.000815302,0.000815302
23,27.8405,1.43209,2.68865,1.11648,1.15111,0.35104,0.53409,0.32121,0.12409,0.33158,0.50568,0.25991,0.09458,1.88225,4.6277,2.50685,1.35082,0.000850995,0.000850995,0.000850995
24,29.0367,1.62182,3.13094,1.31512,1.17512,0.33754,0.53269,0.27529,0.11458,0.25905,0.39773,0.17184,0.06334,1.84928,4.98166,7.45167,1.24236,0.000886491,0.000886491,0.000886491
25,30.2245,1.66959,3.12648,1.21431,1.14028,0.08519,0.28977,0.04982,0.02105,0.06025,0.19886,0.03185,0.00942,2.63491,7.74067,31.9543,1.54859,0.000921788,0.000921788,0.000921788
26,31.3999,1.61995,3.1066,1.20073,1.18822,0.00933,0.07955,0.00504,0.00248,0.00667,0.05682,0.00353,0.00117,2.86724,7.27949,inf,1.72691,0.000956888,0.000956888,0.000956888
27,32.6205,1.73399,3.21399,1.2615,1.12411,0.00933,0.07955,0.00504,0.00223,0.00491,0.03977,0.00244,0.00079,2.57668,6.9032,inf,1.50267,0.000991789,0.000991789,0.000991789
28,33.8063,1.49004,2.81803,1.31677,1.1576,0.00933,0.07955,0.00504,0.00223,0.00491,0.03977,0.00244,0.00079,2.57668,6.9032,inf,1.50267,0.00102649,0.00102649,0.00102649
29,35.025,1.55483,2.87744,1.2275,1.14637,0.00933,0.07955,0.00504,0.00223,0.00491,0.03977,0.00244,0.00079,3.25323,9.77404,inf,2.09254,0.001061,0.001061,0.001061
30,36.2574,1.83499,3.36746,1.45674,1.27816,0.04117,0.33232,0.0271,0.01077,0.01773,0.13636,0.01011,0.00279,2.61735,9.76207,inf,1.57224,0.00109531,0.00109531,0.00109531
31,37.415,1.49511,2.95841,1.26637,1.18301,0.04117,0.33232,0.0271,0.01077,0.01773,0.13636,0.01011,0.00279,2.61735,9.76207,inf,1.57224,0.00112942,0.00112942,0.00112942
32,38.6087,1.60831,2.99695,1.17393,1.15641,0.01888,0.15909,0.01087,0.0042,0.01283,0.10795,0.00705,0.00244,2.31399,6.43028,inf,1.44326,0.00116333,0.00116333,0.00116333
33,39.8233,1.51203,2.8078,1.11904,1.143,0.01888,0.15909,0.01087,0.0042,0.01283,0.10795,0.00705,0.00244,nan,nan,nan,nan,0.00119704,0.00119704,0.00119704
34,41.0378,1.79953,3.40171,1.24794,1.21036,0.01888,0.15909,0.01087,0.0042,0.01283,0.10795,0.00705,0.00244,nan,nan,nan,nan,0.00123056,0.00123056,0.00123056
35,42.2623,1.57601,2.96541,1.13955,1.12563,0.01888,0.15909,0.01087,0.0042,0.01283,0.10795,0.00705,0.00244,nan,nan,nan,nan,0.00126387,0.00126387,0.00126387
36,43.4435,1.57215,3.04237,1.09983,1.1427,0.01888,0.15909,0.01087,0.0042,0.01283,0.10795,0.00705,0.00244,nan,nan,nan,nan,0.00129699,0.00129699,0.00129699
37,44.618,1.61486,2.98142,1.11375,1.13229,0.01888,0.15909,0.01087,0.0042,0.01283,0.10795,0.00705,0.00244,nan,nan,nan,nan,0.00132991,0.00132991,0.00132991
38,45.818,1.54435,2.95698,1.09165,1.14639,0.01888,0.15909,0.01087,0.0042,0.01283,0.10795,0.00705,0.00244,nan,nan,nan,nan,0.00136264,0.00136264,0.00136264
39,47.0117,1.57397,3.15131,1.14041,1.1248,0.01888,0.15909,0.01087,0.0042,0.01283,0.10795,0.00705,0.00244,5.51082,693.397,inf,25.6041,0.00139516,0.00139516,0.00139516
40,48.173,1.61665,3.04118,1.31459,1.12514,0.01888,0.15909,0.01087,0.0042,0.01283,0.10795,0.00705,0.00244,5.51082,693.397,inf,25.6041,0.00142749,0.00142749,0.00142749
41,49.3298,1.5112,2.75576,1.1786,1.10637,0.01888,0.15909,0.01087,0.0042,0.01283,0.10795,0.00705,0.00244,nan,nan,nan,nan,0.00145962,0.00145962,0.00145962
42,50.5091,1.38204,2.63626,1.10262,1.12087,0.00081,0.00568,0.00041,4e-05,0,0,0,0,nan,nan,nan,nan,0.00149155,0.00149155,0.00149155
43,51.72,1.55192,2.92713,1.16481,1.13077,0.00081,0.00568,0.00041,4e-05,0,0,0,0,nan,nan,nan,nan,0.00152329,0.00152329,0.00152329
44,52.9541,1.53011,2.93535,1.2301,1.13042,0.00081,0.00568,0.00041,4e-05,0,0,0,0,nan,nan,nan,nan,0.00155482,0.00155482,0.00155482
45,54.1495,1.49301,2.7538,1.12815,1.15952,0.00081,0.00568,0.00041,4e-05,0,0,0,0,nan,nan,nan,nan,0.00158616,0.00158616,0.00158616
46,55.3909,1.60716,3.01231,1.19623,1.17718,0.00203,0.00568,0.0004,4e-05,0,0,0,0,4.69455,35.3008,41.3712,10.1291,0.0016173,0.0016173,0.0016173
47,56.5789,1.46647,2.73289,1.38146,1.09057,0.00203,0.00568,0.0004,4e-05,0,0,0,0,4.69455,35.3008,41.3712,10.1291,0.00164824,0.00164824,0.00164824
48,57.7713,1.71356,3.04218,1.44411,1.23313,0.00133,0.01136,0.00068,0.0001,0,0,0,0,4.10305,19.3446,6.93837,3.44511,0.00167898,0.00167898,0.00167898
49,58.9555,1.48724,2.7573,1.13381,1.07435,0.00133,0.01136,0.00068,0.0001,0,0,0,0,4.10305,19.3446,6.93837,3.44511,0.00170953,0.00170953,0.00170953
50,60.1776,1.51243,2.79518,1.10648,1.08605,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00173988,0.00173988,0.00173988
51,61.3675,1.40006,2.7585,1.06167,1.08084,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0017525,0.0017525,0.0017525
52,62.5338,1.50478,3.05843,1.3179,1.1525,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00174755,0.00174755,0.00174755
53,63.7395,1.47591,2.81273,1.15009,1.15224,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0017426,0.0017426,0.0017426
54,65.0001,1.54142,2.86032,1.06932,1.08323,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00173765,0.00173765,0.00173765
55,66.1984,1.569,3.13456,1.13648,1.14781,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0017327,0.0017327,0.0017327
56,67.4075,1.42903,2.81062,1.08082,1.10858,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00172775,0.00172775,0.00172775
57,68.6383,1.54066,2.80304,1.04547,1.10193,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0017228,0.0017228,0.0017228
58,69.893,1.39291,2.67667,1.0142,1.07362,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00171785,0.00171785,0.00171785
59,71.1505,1.39009,2.63516,1.11505,1.05103,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0017129,0.0017129,0.0017129
60,72.367,1.5311,2.77129,1.23945,1.09573,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00170795,0.00170795,0.00170795
61,73.5686,1.46622,2.63692,0.98349,1.04068,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.001703,0.001703,0.001703
62,74.8196,1.5255,2.72398,0.99896,1.06899,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00169805,0.00169805,0.00169805
63,76.0465,1.49309,2.60458,0.99205,1.06526,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0016931,0.0016931,0.0016931
64,77.2778,1.561,2.72373,1.05087,1.09842,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00168815,0.00168815,0.00168815
65,78.4399,1.50864,2.53277,1.06024,1.07704,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0016832,0.0016832,0.0016832
66,79.6605,1.50619,2.58421,0.94792,1.04943,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00167825,0.00167825,0.00167825
67,80.8236,1.50246,2.57781,0.97193,1.0576,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0016733,0.0016733,0.0016733
68,82.0933,1.66666,2.86167,1.14002,1.16111,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00166835,0.00166835,0.00166835
69,83.3105,1.48071,2.65401,1.10235,1.09247,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0016634,0.0016634,0.0016634
70,84.4796,1.43009,2.50676,1.07693,1.09016,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00165845,0.00165845,0.00165845
71,85.6522,1.38902,2.47728,0.97971,1.0933,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0016535,0.0016535,0.0016535
72,86.8322,1.45258,2.59447,1.06703,1.10183,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00164855,0.00164855,0.00164855
73,88.0474,1.47526,2.53596,1.08087,1.06718,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0016436,0.0016436,0.0016436
74,89.2579,1.45542,2.58136,1.12637,1.10304,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00163865,0.00163865,0.00163865
75,90.4557,1.4042,2.42789,1.0039,1.06958,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0016337,0.0016337,0.0016337
76,91.6359,1.46752,2.52952,1.00737,1.08747,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00162875,0.00162875,0.00162875
77,92.8399,1.56122,2.73436,1.07242,1.08615,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0016238,0.0016238,0.0016238
78,94.0235,1.38245,2.27182,0.95221,1.07189,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00161885,0.00161885,0.00161885
79,95.1697,1.3755,2.2974,1.04677,1.07295,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0016139,0.0016139,0.0016139
80,96.3619,1.44988,2.54324,1.21694,1.14196,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00160895,0.00160895,0.00160895
81,97.4971,1.33442,2.28458,0.85499,1.02773,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.001604,0.001604,0.001604
82,98.7273,1.36768,2.35094,0.90815,1.03368,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00159905,0.00159905,0.00159905
83,99.8802,1.26717,2.20063,0.87855,0.99671,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0015941,0.0015941,0.0015941
84,101.074,1.43145,2.53435,1.0079,1.05281,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00158915,0.00158915,0.00158915
85,102.242,1.30986,2.2298,0.89583,1.03481,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0015842,0.0015842,0.0015842
86,103.426,1.3487,2.32158,0.94972,1.03845,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.00157925,0.00157925,0.00157925
87,104.586,1.55266,2.68501,1.03696,1.11022,0.00133,0.01136,0.00068,0.0001,0,0,0,0,nan,nan,nan,nan,0.0015743,0.0015743,0.0015743
88,105.769,1.47051,2.45046,0.92347,1.08427,0.35184,0.06818,0.05686,0.02314,0.13187,0.03977,0.01741,0.00406,nan,nan,nan,nan,0.00156935,0.00156935,0.00156935
89,106.926,1.49431,2.53512,0.96475,1.0503,0.35184,0.06818,0.05686,0.02314,0.13187,0.03977,0.01741,0.00406,nan,nan,nan,nan,0.0015644,0.0015644,0.0015644
90,108.113,1.41782,2.43573,0.98098,1.06536,0.21679,0.125,0.10228,0.0406,0.20572,0.06818,0.03809,0.00898,3.0007,30.4031,3.74264,2.37874,0.00155945,0.00155945,0.00155945
91,109.255,1.4046,2.38102,0.95232,1.06429,0.21679,0.125,0.10228,0.0406,0.20572,0.06818,0.03809,0.00898,3.0007,30.4031,3.74264,2.37874,0.0015545,0.0015545,0.0015545
92,110.459,1.23345,2.172,0.94451,1.0369,0.53519,0.52273,0.41157,0.22749,0.48428,0.47159,0.34534,0.14212,1.79819,6.04276,1.73255,1.3005,0.00154955,0.00154955,0.00154955
93,111.62,1.28062,2.18178,0.86041,1.0098,0.53519,0.52273,0.41157,0.22749,0.48428,0.47159,0.34534,0.14212,1.79819,6.04276,1.73255,1.3005,0.0015446,0.0015446,0.0015446
94,112.807,1.34198,2.42552,1.03232,1.09669,0.58233,0.57037,0.57886,0.30094,0.66033,0.50568,0.55055,0.23748,1.6318,3.43384,1.35718,1.24703,0.00153965,0.00153965,0.00153965
95,114.062,1.34194,2.23758,0.89787,1.03906,0.58233,0.57037,0.57886,0.30094,0.66033,0.50568,0.55055,0.23748,1.6318,3.43384,1.35718,1.24703,0.0015347,0.0015347,0.0015347
96,115.407,1.29421,2.14293,0.88201,1.02314,0.61907,0.64637,0.64724,0.33534,0.70229,0.5625,0.61458,0.2784,1.61609,3.08344,1.23667,1.20299,0.00152975,0.00152975,0.00152975
97,116.659,1.26677,2.17043,0.90874,1.05479,0.61907,0.64637,0.64724,0.33534,0.70229,0.5625,0.61458,0.2784,1.61609,3.08344,1.23667,1.20299,0.0015248,0.0015248,0.0015248
98,117.945,1.2612,2.20115,0.91711,1.04881,0.61737,0.69673,0.66687,0.34985,0.70036,0.57955,0.65039,0.2802,1.57194,3.0485,1.27385,1.18468,0.00151985,0.00151985,0.00151985
99,119.218,1.33108,2.15857,0.84609,1.02666,0.61737,0.69673,0.66687,0.34985,0.70036,0.57955,0.65039,0.2802,1.57194,3.0485,1.27385,1.18468,0.0015149,0.0015149,0.0015149
100,120.498,1.34755,2.36812,0.95835,1.0402,0.63438,0.56818,0.61213,0.32027,0.6086,0.53409,0.55983,0.27246,1.65175,3.12482,1.25006,1.18716,0.00150995,0.00150995,0.00150995
101,121.679,1.39148,2.35928,0.91259,1.01251,0.63438,0.56818,0.61213,0.32027,0.6086,0.53409,0.55983,0.27246,1.65175,3.12482,1.25006,1.18716,0.001505,0.001505,0.001505
102,122.868,1.34745,2.16168,0.86491,1.01142,0.69034,0.50568,0.57361,0.31112,0.6291,0.47159,0.50268,0.2641,1.61574,3.32536,1.29842,1.16229,0.00150005,0.00150005,0.00150005
103,124.06,1.29026,2.32677,0.88998,1.00932,0.69034,0.50568,0.57361,0.31112,0.6291,0.47159,0.50268,0.2641,1.61574,3.32536,1.29842,1.16229,0.0014951,0.0014951,0.0014951
104,125.277,1.3409,2.16742,0.85051,1.00686,0.62805,0.54545,0.56837,0.30685,0.60877,0.48627,0.50492,0.22003,1.59991,3.32684,1.33322,1.17514,0.00149015,0.00149015,0.00149015
105,126.464,1.28118,2.25255,0.97123,1.05558,0.62805,0.54545,0.56837,0.30685,0.60877,0.48627,0.50492,0.22003,1.59991,3.32684,1.33322,1.17514,0.0014852,0.0014852,0.0014852
