epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.6472,2.41036,3.67417,1.89462,0,0,0,0,2.52356,3.81105,2.00207,2e-05,2e-05,2e-05
2,2.38608,2.55046,3.71725,1.9755,0,0,0,0,2.51415,3.81427,1.99623,5.98515e-05,5.98515e-05,5.98515e-05
3,3.00314,2.57701,3.74318,2.00198,0,0,0,0,2.52303,3.81391,2.00112,9.9505e-05,9.9505e-05,9.9505e-05
4,3.54016,2.65401,3.83063,1.98452,0,0,0,0,2.11101,3.69576,1.6696,0.000138961,0.000138961,0.000138961
5,4.13735,2.18794,3.46436,1.58007,0.02533,0.21591,0.01565,0.00796,1.72565,3.53184,1.33607,0.000178218,0.000178218,0.000178218
6,4.74373,2.11574,2.99138,1.41085,0.044,0.375,0.03388,0.01689,1.60482,3.40946,1.22435,0.000217278,0.000217278,0.000217278
7,5.37449,1.97307,2.43953,1.29524,0.03067,0.26136,0.03551,0.01696,1.62056,3.35785,1.23421,0.000256139,0.000256139,0.000256139
8,5.94032,1.79471,2.08312,1.32468,0.006,0.05114,0.03558,0.01956,1.5984,3.3056,1.21738,0.000294803,0.000294803,0.000294803
9,6.51383,1.76577,1.77662,1.26708,0.006,0.05114,0.03817,0.0222,1.50363,3.27183,1.17782,0.000333268,0.000333268,0.000333268
10,7.07383,1.67935,1.73906,1.2593,0.00533,0.04545,0.04163,0.02403,1.44451,3.2373,1.15769,0.000371535,0.000371535,0.000371535
11,7.67524,1.69085,1.66145,1.27507,0.00533,0.04545,0.04171,0.01984,1.42289,3.22174,1.14817,0.000409605,0.000409605,0.000409605
12,8.22489,1.56161,1.72791,1.26768,0.006,0.05114,0.0473,0.02196,1.43418,3.18533,1.15273,0.000447476,0.000447476,0.000447476
13,8.79164,1.74234,1.67942,1.29995,0.00667,0.05682,0.03243,0.0185,1.42594,3.11526,1.13629,0.00048515,0.00048515,0.00048515
14,9.35874,1.53485,1.64218,1.27436,0.00533,0.04545,0.01825,0.01276,1.42539,3.07998,1.12685,0.000522626,0.000522626,0.000522626
15,9.92797,1.59328,1.67335,1.30491,0.002,0.01705,0.00694,0.00493,1.46065,3.06218,1.14368,0.000559903,0.000559903,0.000559903
16,10.4943,1.56131,1.55563,1.22552,0.002,0.01705,0.00638,0.00458,1.46837,3.04266,1.1431,0.000596983,0.000596983,0.000596983
17,11.0468,1.48444,1.61269,1.22979,0.00267,0.02273,0.01151,0.00708,1.48773,3.04801,1.15362,0.000633864,0.000633864,0.000633864
18,11.6273,1.59708,1.60385,1.2584,0.00533,0.04545,0.02364,0.01565,1.39614,3.01199,1.1297,0.000670548,0.000670548,0.000670548
